SuperTux → Mari0 CE mappack — attribution
Generated by scripts/mapsdk/build_supertux.py
Only levels that passed license_ok (CC-BY-SA allowlist) are listed.

FILE                                     AUTHOR                       LICENSE  NAME
----------------------------------------------------------------------------------------------------
welcome_antarctica.stl                   Marek Moeckel & Carsten Wirtz CC-BY-SA 4.0 International  Welcome to Antarctica
journey_begins.stl                       Carsten Wirtz                CC-BY-SA 4.0 International  The Journey Begins
somewhat_smaller_bath.stl                Carsten Wirtz                CC-BY-SA 4.0 International  The Somewhat Smaller Bath
fork_in_the_road.stl                     Carsten Wirtz                CC-BY-SA 4.0 International  A Fork in the Road?
frosted_fields.stl                       Carsten Wirtz                CC-BY-SA 4.0 International  The Frosted Fields
stone_cold.stl                           Carsten Wirtz                CC-BY-SA 4.0 International  Stone Cold
more_snowballs.stl                       Carsten Wirtz, FrostC        CC-BY-SA 4.0 International  Oh No! More Snowballs!
bouncy_mountainside.stl                  Carsten Wirtz                CC-BY-SA 4.0 International  Bouncy, Bouncy Mountainside
above_arctic_skies.stl                   Carsten Wirtz                CC-BY-SA 4.0 International  Above the Antarctic Skies
23rd_airborne.stl                        Carsten Wirtz                CC-BY-SA 4.0 International  23rd Airborne
night_chill.stl                          Carsten Wirtz                CC-BY-SA 4.0 International  Night Chill
into_stars.stl                           Carsten Wirtz                CC-BY-SA 4.0 International  Into the Stars
entrance_cave.stl                        Carsten Wirtz                CC-BY-SA 4.0 International  Entrance to the Cave
under_the_ice.stl                        Carsten Wirtz                CC-BY-SA 4.0 International  Under the Ice
living_inside_fridge.stl                 Carsten Wirtz                CC-BY-SA 4.0 International  Living In A Fridge
or_just_me.stl                           Carsten Wirtz                CC-BY-SA 4.0 International  ...Or Is It Just Me?
deep_dive_chill.stl                      Carsten Wirtz                CC-BY-SA 4.0 International  Deep Dive 'n' Chill
ice_in_the_hole.stl                      Carsten Wirtz                CC-BY-SA 4.0 International  Ice in the Hole
end_of_tunnel.stl                        Carsten Wirtz                CC-BY-SA 4.0 International  End of the Tunnel
path_in_clouds.stl                       Carsten Wirtz                CC-BY-SA 4.0 International  A Path in the Clouds
slippery_slide.stl                       Carsten Wirtz                CC-BY-SA 4.0 International  Slippery Slide
shattered_bridge.stl                     Carsten Wirtz                CC-BY-SA 4.0 International  Shattered Bridge
antarctic_outpost.stl                    Carsten Wirtz                CC-BY-SA 4.0 International  Antarctic Outpost
castle_of_nolok.stl                      Carsten Wirtz                CC-BY-SA 4.0 International  The Castle of Nolok
yeti_boss.stl                            Carsten Wirtz                CC-BY-SA 4.0 International  No More Mr. Ice Guy
crystal_mine.stl                         Carsten Wirtz                CC-BY-SA 4.0 International  The Crystal Mine
between_glaciers.stl                     Carsten Wirtz                CC-BY-SA 4.0 International  Between Two Glaciers
intro.stl                                SuperTux Team                GPL 2+ / CC-by-sa 3.0  Picnic With Penny
yeti_cutscene.stl                        Carsten Wirtz                CC-BY-SA 4.0 International  An Unsuspected Follower
castle_cutscene.stl                      Carsten Wirtz                CC-BY-SA 4.0 International  Nobody Home
yetiwin_cutscene.stl                     Carsten Wirtz                CC-BY-SA 4.0 International  Off to the Glacier Isles
welcome_forest.stl                       Carsten Wirtz                CC-BY-SA 4.0 International  Welcome to the Forest
rock_roll.stl                            Carsten Wirtz                CC-BY-SA 4.0 International  Rock 'n' Roll
shallow_green.stl                        Carsten Wirtz                CC-BY-SA 4.0 International  Shallow Green
